time,text,channel_id
2024-04-09 08:40:15,"⚡️Расписание ключевых событий недели ⚡️  🗓 ВТОРНИК 09.04.2024  🏦 $SBER $SBERP — Сокращенные финансовые результаты по РПБУ за март 2024г. 📦 $OZON — Финансовые результаты по МСФО за IV квартал и 12 мес. 2023г. - Компания проведет день инвестора и прямой эфир с топ-менеджерами в 12:30 по МСК. 📱 $POSI — Финансовые результаты по МСФО за 12 мес. 2023г. - Внеочередное собрание акционеров. В повестке вопрос утверждения дивидендов по результатам 2023г. и I квартала 2024г. 🛡 $SOFL — Последний день обмена ГДР Noventiq Holdings plc, на акции ПАО «Софтлайн»  🗓 СРЕДА 10.04.2024  👕 $HNFG — Операционные результаты за март 2024 года 📱 $QIWI — Рассмотрение иска ЦБ о принудительной ликвидации Киви банка  🗓 ЧУТВЕРГ 11.04.2024  👕 $HNFG — Заседание совета директоров. В повестке вопрос рекомендации дивидендов по результатам I квартала 2024г. 1️⃣ $ZAYM — Окончание срока приема заявок на IPO МФК ""Займер""   🗓 ПЯТНИЦА 12.04.2024  💻 $ASTR — Истекает 180 дневный lock-up период на продажу акций для акционеров и аффилированными с ними лицами 🏦 $SVCB — Финансовые результаты по РСБУ за 12 мес. 2023г. 1️⃣ $ZAYM — Мосбиржа включит акции МФК ""Займер"" в третий котировальный список. Планируемый старт торгов",-1001871571536
2024-04-08 13:10:29,Шортисты на Мосбирже 😁,-1001871571536
2024-04-08 08:50:12,"🧐Спекулянтам и инвесторам доброе утро! 👋  Ждем продолжения пампов ? Индекс слабеет небольшая фиксация в $LKOH очень сильно оказывает давление на индекс. Да забрали 3400пп уверенно но закрепиться не получилось. Прошлую неделю индекс рос на $GAZP, $PLZL и $SBER. Но кажется бумаги уперлись в свои потолки, апсайда вообще не вижу. Хороших потенциально сильных бумаг нет. Скорее все спекулятивно и отторговывать надо в моменте. Никогда не знаешь в какую бумагу придет крупный игрок, надо просто ждать. Так же с новостной торговлей.  Удачных торгов.✌️🔥✌️  🚀 Сканер объемов «Всевидящее око» 📝 Инструкция «Как пользоваться утренней аналитикой?» 🐃 Крипто биржа «На которой торгую я» 👁Лучший брокер «Сылка на открытие счета»  ‼️Не ИИР, мои мысли и взгляд на рынок, решение вы принимаете самостоятельно  ‼️ #утренняя_аналитика",-1001871571536
2024-04-08 08:40:11,"⚡️Расписание ключевых событий недели ⚡️  🗓 ПОНЕДЕЛЬНИК 08.04.2024  💰 $AFKS — Финансовые результаты по МСФО за IV квартал 2023г. 🚂 $GLTR — Финансовые результаты по МСФО и операционные результаты за 12 мес. 2023г. 💿 $GMKN — Возобновление торгов акциями после их дробления в пропорции 1 к 100 📱 $POSI — Заседание совета директоров. В повестке вопрос рекомендации дивидендов по результатам 2023г. и I квартала 2024г. 💿 $MAGN — Судебное заседание по делу с ФАС в 17:00 по МСК 🏠 $PIKK — Истекает срок разрешения Министерства финансов США на сделки с компанией после внесения ее в SDN-лист  🗓 ВТОРНИК 09.04.2024  🏦 $SBER $SBERP — Сокращенные финансовые результаты по РПБУ за март 2024г. 📦 $OZON — Финансовые результаты по МСФО за IV квартал и 12 мес. 2023г. - Компания проведет день инвестора и прямой эфир с топ-менеджерами в 12:30 по МСК. 📱 $POSI — Финансовые результаты по МСФО за 12 мес. 2023г. - Внеочередное собрание акционеров. В повестке вопрос утверждения дивидендов по результатам 2023г. и I квартала 2024г. 🛡 $SOFL — Последний день обмена ГДР Noventiq Holdings plc, на акции ПАО «Софтлайн»  🗓 СРЕДА 10.04.2024  👕 $HNFG — Операционные результаты за март 2024 года 📱 $QIWI — Рассмотрение иска ЦБ о принудительной ликвидации Киви банка  🗓 ЧУТВЕРГ 11.04.2024  👕 $HNFG — Заседание совета директоров. В повестке вопрос рекомендации дивидендов по результатам I квартала 2024г. 1️⃣ $ZAYM — Окончание срока приема заявок на IPO МФК ""Займер""   🗓 ПЯТНИЦА 12.04.2024  💻 $ASTR — Истекает 180 дневный lock-up период на продажу акций для акционеров и аффилированными с ними лицами 🏦 $SVCB — Финансовые результаты по РСБУ за 12 мес. 2023г. 1️⃣ $ZAYM — Мосбиржа включит акции МФК ""Займер"" в третий котировальный список. Планируемый старт торгов",-1001871571536
2024-04-05 08:50:13,"🧐Спекулянтам и инвесторам доброе утро! 👋  Долгожданный откат начался ? Вчера рынок вчера не радовал уже безумными ракетам, а под вечерку начался небольшой откат. Скорее всего это связанно с всеобщим откатом мировых рынков, других причин я не особо вижу. 3380пп ближайшая поддержка, но какие бумаги подбирать сложно предположить, все идейные уже отстреляли и интересного особо нет. Так же не будем забывать сегодня пятница. Не жду каких то безумных горок, скорее всего будет стандартная скучная пятница. Мыслей идей на таких уровнях нет.  Много успел подфиксить спекулятивных позиций в инвест портфеле, но облигационная часть все еще не набрана. Продолжаю набор и подумываю чтобы еще докупить из облигаций. Ликвидности очень мало и купить по вкусным ценам довольно тяжело, приходиться ждать несколько дней. Удачных торгов.✌️🔥✌️  🚀 Сканер объемов «Всевидящее око» 📝 Инструкция «Как пользоваться утренней аналитикой?» 🐃 Крипто биржа «На которой торгую я» 👁Лучший брокер «Сылка на открытие счета»  ‼️Не ИИР, мои мысли и взгляд на рынок, решение вы принимаете самостоятельно  ‼️ #утренняя_аналитика",-1001871571536
2024-04-05 08:40:14,"⚡️Расписание ключевых событий недели ⚡️  🗓 ПЯТНИЦА - 05.04.2024  🍗 $GCHE — Дивидендный гэп: 205,38 руб. 🏦 $SFIN — Внеочередное собрание акционеров. В повестке вопросы о реорганизации и об уменьшении уставного капитала путем погашения акций, в соответствии с условиями Договора о присоединении ООО «ЭсЭфАй Трейдинг» к ПАО «ЭсЭфАй» 🛒 $OKEY — Возможно опубликует финансовые результаты по МСФО за 12 мес. 2023г. 🍅 $AGRO — Годовое общее собрание акционеров. В повестке вопрос о дивидендах, которые совет директоров рекомендовал не выплачивать",-1001871571536
2024-04-04 15:23:40,🧐Спекулянтам и инвесторам доброго утра! 👋  Вчера весь день сокращал позицию по $ENGP. Бумага продолжила полет и я решил закрыть позицию целиком. Бумага была набрана спекулятивно +10% за 2 дня вполне не плохо.  🫱Инвест портфель🫲 #инвест_портфель,-1001871571536
2024-04-04 08:50:19,"🧐Спекулянтам и инвесторам доброе утро! 👋  Рынок устраивает полнейшую гойду. Индекс потрогал 3400пп и не пошел пробивать, возможно пойдет сегодня. Но вопрос на чем как всегда остается очень интересным. Больше всего меня удивляют мусорные или мертвые бумаги. Большие спекули кажется поняли что стаканы пустые и можно издеваться над шортистами, пока рынок ракетит. Гонят все что не прибито к хаю,а что прибито пробивают и гонят выше. Гляньте например $LENT, $RUAL.  Конец близок, но будет ли он ? или все просто уйдет в боковик и движение продолжиться. С одной стороны это хорошо, много крою позиций в инвест портфеле, много быстрых гойда сделок в бумагах. Но очень страшно залетать в хаи, можно и остаться. Удачных торгов.✌️🔥✌️  🚀 Сканер объемов «Всевидящее око» 📝 Инструкция «Как пользоваться утренней аналитикой?» 🐃 Крипто биржа «На которой торгую я» 👁Лучший брокер «Сылка на открытие счета»  ‼️Не ИИР, мои мысли и взгляд на рынок, решение вы принимаете самостоятельно  ‼️ #утренняя_аналитика",-1001871571536
2024-04-04 08:40:16,"⚡️Расписание ключевых событий недели ⚡️  🗓 ЧЕТВЕРГ - 04.04.2024  🍗 $GCHE — Последний день с дивидендном 205,38 руб. на акцию  🗓 ПЯТНИЦА - 05.04.2024  🍗 $GCHE — Дивидендный гэп: 205,38 руб. 🏦 $SFIN — Внеочередное собрание акционеров. В повестке вопросы о реорганизации и об уменьшении уставного капитала путем погашения акций, в соответствии с условиями Договора о присоединении ООО «ЭсЭфАй Трейдинг» к ПАО «ЭсЭфАй» 🛒 $OKEY — Возможно опубликует финансовые результаты по МСФО за 12 мес. 2023г. 🍅 $AGRO — Годовое общее собрание акционеров. В повестке вопрос о дивидендах, которые совет директоров рекомендовал не выплачивать",-1001871571536
2024-04-03 10:56:51,"🧐Спекулянтам и инвесторам доброго утра! 👋  Частично сократил позицию по $VKCO +5% отскока вполне не плохо. Мысли по инвест портфелю все остаются. Частично крою спекулятивные позиции по бумагам пока рынок летит в потолок и добираю облигационную часть. Бумаги с хорошими дивидендами тоже держу, на откатах буду добирать. (Это я про $SBER,$LKOH)  🫱Инвест портфель🫲 #инвест_портфель",-1001871571536
